group,image_name,image_path,repeat_idx,infer_time_ms,answer,model,revision,prompt,max_tokens,input_size,timing_mode
simple,simple_01.png,./test_images/simple/simple_01.png,1,743.231532,A white line marking the edge of the road.,vikhyatk/moondream2,2025-01-09,"You are a car driver looking forward through the windshield.
Describe the hazard you see on the road ahead in one short sentence. If there are nothing, say Normal.",30,384,legacy_no_cuda_sync
simple,simple_02.png,./test_images/simple/simple_02.png,1,738.072508,A white line marking the edge of the road.,vikhyatk/moondream2,2025-01-09,"You are a car driver looking forward through the windshield.
Describe the hazard you see on the road ahead in one short sentence. If there are nothing, say Normal.",30,384,legacy_no_cuda_sync
simple,simple_03.png,./test_images/simple/simple_03.png,1,738.803591,A white line marking the edge of the road.,vikhyatk/moondream2,2025-01-09,"You are a car driver looking forward through the windshield.
Describe the hazard you see on the road ahead in one short sentence. If there are nothing, say Normal.",30,384,legacy_no_cuda_sync
simple,simple_04.png,./test_images/simple/simple_04.png,1,743.324838,A white line marking the edge of the road.,vikhyatk/moondream2,2025-01-09,"You are a car driver looking forward through the windshield.
Describe the hazard you see on the road ahead in one short sentence. If there are nothing, say Normal.",30,384,legacy_no_cuda_sync
simple,simple_05.png,./test_images/simple/simple_05.png,1,744.528880,A white line marking the edge of the road.,vikhyatk/moondream2,2025-01-09,"You are a car driver looking forward through the windshield.
Describe the hazard you see on the road ahead in one short sentence. If there are nothing, say Normal.",30,384,legacy_no_cuda_sync
complex,complex_01.jpg,./test_images/complex/complex_01.jpg,1,794.512057,"A large, white, tracked vehicle is ahead of me.",vikhyatk/moondream2,2025-01-09,"You are a car driver looking forward through the windshield.
Describe the hazard you see on the road ahead in one short sentence. If there are nothing, say Normal.",30,384,legacy_no_cuda_sync
complex,complex_02.jpg,./test_images/complex/complex_02.jpg,1,794.760054,"A large, white, tracked vehicle is ahead of me.",vikhyatk/moondream2,2025-01-09,"You are a car driver looking forward through the windshield.
Describe the hazard you see on the road ahead in one short sentence. If there are nothing, say Normal.",30,384,legacy_no_cuda_sync
complex,complex_03.jpg,./test_images/complex/complex_03.jpg,1,724.537083,A large truck is parked on the track.,vikhyatk/moondream2,2025-01-09,"You are a car driver looking forward through the windshield.
Describe the hazard you see on the road ahead in one short sentence. If there are nothing, say Normal.",30,384,legacy_no_cuda_sync
complex,complex_04.jpg,./test_images/complex/complex_04.jpg,1,721.346647,A large truck is coming up the road.,vikhyatk/moondream2,2025-01-09,"You are a car driver looking forward through the windshield.
Describe the hazard you see on the road ahead in one short sentence. If there are nothing, say Normal.",30,384,legacy_no_cuda_sync
complex,complex_5.jpg,./test_images/complex/complex_5.jpg,1,821.379957,A large construction vehicle is parked in the middle of the road.,vikhyatk/moondream2,2025-01-09,"You are a car driver looking forward through the windshield.
Describe the hazard you see on the road ahead in one short sentence. If there are nothing, say Normal.",30,384,legacy_no_cuda_sync
